year,make,body style,miles,price,color
2022,BMW M4,Competition Convertible xDrive,"7,470 miles","$87,995 ","Black exterior, Gray interior"
2023,BMW M4,Coupe RWD,"2,875 miles","$81,995 ","Red exterior, Red interior"
2022,BMW M4,Competition Coupe xDrive,210 miles,"$99,990 ","Blue exterior, Orange interior"
2022,BMW M4,Competition Coupe xDrive,"3,441 miles","$93,985 ","Gray exterior, Black interior"
2022,BMW M4,Competition Coupe xDrive,"2,910 miles","$86,990 ","Gray exterior, Red interior"
2021,BMW M4,Competition Coupe,"22,240 miles","$79,998 ","Green exterior, Gray interior"
2022,BMW M4,Competition Coupe xDrive,"2,169 miles","$96,998 ","Gray exterior, Black interior"
2021,BMW M4,Competition Coupe,"2,028 miles","$82,996 ","Gray exterior, Black interior"
2022,BMW M4,Competition Coupe xDrive,"4,585 miles","$93,990 ","Gray exterior, Black interior"
2022,BMW M4,Competition Convertible xDrive,"8,369 miles","$88,107 ","White exterior, Blue interior"
2022,BMW M4,Competition Convertible xDrive,"5,547 miles","$91,000 ","Gray exterior, Red interior"
2022,BMW M4,Competition Convertible xDrive,"2,453 miles","$91,996 ","Unknown exterior, Black interior"
2021,BMW M4,Competition Coupe,"9,670 miles","$80,479 ","Gray exterior, Black interior"
2022,BMW M4,Competition Convertible xDrive,"1,910 miles","$108,995 ","Yellow exterior, Blue interior"
2021,BMW M4,Competition Coupe,"8,940 miles","$80,795 ","Black exterior, Black interior"
2021,BMW M4,Coupe,"7,147 miles","$79,900 ","Blue exterior, Gray interior"
2022,BMW M4,Coupe RWD,206 miles,"$82,950 ","Black exterior, White interior"
2021,BMW M4,Competition Coupe,"27,276 miles","$79,205 ","Blue exterior, Orange interior"
2022,BMW M4,Competition Convertible xDrive,"1,714 miles","$88,995 ","Blue exterior, Black interior"
2022,BMW M4,Competition Convertible xDrive,"1,907 miles","$92,685 ","Gray exterior, Brown interior"
2022,BMW M4,Competition Coupe xDrive,"5,340 miles","$104,999 ","White exterior, Brown interior"
2023,BMW M4,Competition Coupe xDrive,800 miles,"$103,000 ","Gray exterior, Red interior"
2022,BMW M4,Competition Coupe xDrive,"1,667 miles","$159,995 ","Black exterior, Unknown interior"
2022,BMW M4,Competition Coupe xDrive,"2,157 miles","$129,998 ","Black exterior, Unknown interior"
2022,BMW M4,Competition Coupe xDrive,12 miles,"$179,995 ","White exterior, Unknown interior"
2018,Audi RS 5,Coupe,"38,668 miles","$57,898 ","Black exterior, Black interior"
2018,Audi RS 5,Coupe,"47,955 miles","$50,995 ","Black exterior, Black interior"
2018,Audi RS 5,Coupe,"38,260 miles","$59,500 ","Gray exterior, Black interior"
2018,Audi RS 5,Coupe,"14,244 miles","$60,990 ","Gray exterior, Black interior"
2018,Audi RS 5,Coupe,"28,907 miles","$58,920 ","White exterior, Black interior"
2018,Audi RS 5,Coupe,"18,850 miles","$62,998 ","Gray exterior, Black interior"
2018,Audi RS 5,Coupe,"29,974 miles","$57,991 ","Black exterior, Black interior"
2015,Audi RS 5,Coupe,"49,833 miles","$44,990 ","Black exterior, Black interior"
2018,Audi RS 5,Coupe,"70,781 miles","$47,450 ","Red exterior, Black interior"
2015,Audi RS 5,Coupe,"103,938 miles","$37,991 ","Black exterior, Black interior"
2015,Audi RS 5,Coupe,"75,383 miles","$38,900 ","Gray exterior, Black interior"
2018,Audi RS 5,Coupe,"35,224 miles","$56,877 ","Gray exterior, Black interior"
2018,Audi RS 5,Coupe,"31,627 miles","$63,500 ","White exterior, Black interior"
2018,Audi RS 5,Coupe,"23,173 miles","$55,974 ","White exterior, Black interior"
2018,Audi RS 5,Coupe,"38,950 miles","$55,477 ","White exterior, Black interior"
2018,Audi RS 5,Coupe,"18,102 miles","$57,995 ","Black exterior, Black interior"
2018,Audi RS 5,Coupe,"21,087 miles","$58,995 ","Black exterior, Gray interior"
2018,Audi RS 5,Coupe,"30,685 miles","$59,555 ","Blue exterior, Gray interior"
2018,Audi RS 5,Coupe,"12,616 miles","$62,497 ","Black exterior, Black interior"
2018,Audi RS 5,Coupe,"32,775 miles","$59,991 ","Gray exterior, Black interior"
2015,Audi RS 5,Coupe,"81,557 miles","$38,995 ","Gray exterior, Black interior"
2018,Audi RS 5,Coupe,"38,103 miles","$57,995 ","Black exterior, Black interior"
2018,Audi RS 5,Coupe,"18,019 miles","$58,949 ","Blue exterior, Gray interior"
2018,Audi RS 5,Coupe,"75,387 miles","$52,980 ","Red exterior, Black interior"
2018,Audi RS 5,Coupe,"58,700 miles","$63,991 ","Unknown exterior, Black interior"
2018,Audi RS 5,Coupe,"14,645 miles","$49,944 ","Blue exterior, Black interior"
2018,Audi RS 5,Coupe,"26,059 miles","$62,307 ","Black exterior, Black interior"
2015,Audi RS 5,Cabriolet,"71,971 miles","$45,695 ","Gray exterior, Black interior"
2019,Audi RS 5,Sportback,"81,644 miles","$51,222 ","Black exterior, Black interior"
2019,Audi RS 5,Sportback,"76,704 miles","$52,988 ","Black exterior, Black interior"
2019,Audi RS 5,Sportback,"14,341 miles","$65,994 ","Gray exterior, Black interior"
2019,Audi RS 5,Coupe,"23,052 miles","$65,880 ","Gray exterior, Black interior"
2019,Audi RS 5,Sportback,"38,179 miles","$65,195 ","White exterior, Black interior"
2019,Audi RS 5,Sportback,"30,123 miles","$69,998 ","Black exterior, Black interior"
2019,Audi RS 5,Coupe,"4,954 miles","$69,590 ","Gray exterior, Gray interior"
2019,Audi RS 5,Sportback,"21,511 miles","$69,585 ","Gray exterior, Silver interior"
2019,Audi RS 5,Coupe,"31,711 miles","$64,990 ","Gray exterior, Red interior"
2019,Audi RS 5,Coupe,"10,919 miles","$67,590 ","Gray exterior, Red interior"
2019,Audi RS 5,Coupe,"24,109 miles","$68,499 ","White exterior, Black interior"
2019,Audi RS 5,Coupe,"6,311 miles","$67,995 ","Black exterior, Red interior"
2019,Audi RS 5,Sportback,"54,832 miles","$56,988 ","White exterior, Black interior"
2019,Audi RS 5,Sportback,"30,319 miles","$64,995 ","Gray exterior, Black interior"
2019,Audi RS 5,Sportback,"11,257 miles","$60,783 ","Gray exterior, Unknown interior"
2019,Audi RS 5,Sportback,"37,718 miles","$60,000 ","Red exterior, Black interior"
2019,Audi RS 5,Sportback,"20,810 miles","$67,896 ","Gray exterior, Black interior"
2019,Audi RS 5,Sportback,"14,312 miles","$54,994 ","Blue exterior, Black interior"
2019,Audi RS 5,Sportback,"69,950 miles","$55,500 ","Gray exterior, Black interior"
2019,Audi RS 5,Sportback,"116,762 miles","$45,991 ","White exterior, Black interior"
2019,Audi RS 5,Coupe,"5,833 miles","$65,900 ","White exterior, Black interior"
2019,Audi RS 5,Coupe,"25,826 miles","$66,550 ","Gray exterior, Red interior"
2019,Audi RS 5,Sportback,"42,218 miles","$62,495 ","Black exterior, Black interior"
2019,Audi RS 5,Sportback,"24,884 miles","$65,112 ","Black exterior, Black interior"
2019,Audi RS 5,Sportback,"43,682 miles","$58,859 ","Gray exterior, Black interior"
2019,Audi RS 5,Sportback,"11,252 miles","$67,932 ","Green exterior, Black interior"
2019,Audi RS 5,Sportback,"13,995 miles","$64,278 ","Black exterior, Black interior"
2019,Audi RS 5,Sportback,"72,371 miles","$59,864 ","White exterior, Black interior"
2019,Audi RS 5,Sportback,"32,487 miles","$57,498 ","Black exterior, Black interior"
2019,Audi RS 5,Sportback,"11,382 miles","$71,999 ","Black exterior, Black interior"
2022,Audi RS 5,Coupe,"3,401 miles","$89,999 ","White exterior, Black interior"
2021,Audi RS 5,Coupe,"9,790 miles","$83,900 ","Gray exterior, Black interior"
2023,Audi RS 5,Coupe,774 miles,"$79,900 ","Blue exterior, Black interior"
2022,Audi RS 5,Sportback,666 miles,"$87,990 ","Black exterior, Black interior"
2022,Audi RS 5,Sportback,275 miles,"$88,990 ","Gray exterior, Gray interior"
2021,Audi RS 5,Sportback,"9,860 miles","$70,444 ","Green exterior, Black interior"
2022,Audi RS 5,Sportback,"1,322 miles","$86,500 ","Blue exterior, Black interior"
2021,Audi RS 5,Coupe,"19,332 miles","$74,463 ","Gray exterior, Black interior"
2021,Audi RS 5,Sportback,"16,962 miles","$78,020 ","Black exterior, Black interior"
2021,Audi RS 5,Sportback,"11,002 miles","$78,832 ","Undetermined exterior, Black interior"
2021,Audi RS 5,Coupe,"11,540 miles","$76,671 ","Blue exterior, Black interior"
2021,Audi RS 5,Sportback,"12,896 miles","$78,700 ","Black exterior, Black interior"
2021,Audi RS 5,Sportback,"13,509 miles","$78,750 ","Gray exterior, Black interior"
2022,Audi RS 5,Coupe,"3,485 miles","$89,888 ","Black exterior, Black interior"
2022,Audi RS 5,Sportback,"3,282 miles","$87,992 ","Blue exterior, Black interior"
2021,Audi RS 5,Coupe,"18,680 miles","$74,998 ","Blue exterior, Black interior"
2021,Audi RS 5,Coupe,"1,012 miles","$81,997 ","White exterior, Black interior"
2022,Audi RS 5,Sportback,"5,722 miles","$83,511 ","Gray exterior, Black interior"
2021,Audi RS 5,Sportback,"8,127 miles","$82,900 ","White exterior, Black interior"
2021,Audi RS 5,Sportback,"12,253 miles","$78,895 ","Gray exterior, Black interior"
2022,Audi RS 5,Sportback,"5,665 miles","$85,887 ","Gray exterior, Black interior"
2021,Audi RS 5,Sportback,"8,473 miles","$83,900 ","Undetermined exterior, Black interior"
2022,Audi RS 5,Sportback,"3,711 miles","$83,700 ","Gray exterior, Black interior"
2022,Audi RS 5,Coupe,"2,100 miles","$87,951 ","Gray exterior, Black interior"
2021,Audi RS 5,Sportback,"18,610 miles","$78,995 ","Red exterior, Black interior"
2021,Audi RS 5,Coupe,"5,111 miles","$78,981 ","Green exterior, Black interior"
2022,Audi RS 5,Sportback,"9,000 miles","$99,500 ","Green exterior, Black interior"
2022,Audi RS 5,Sportback,"3,064 miles","$93,488 ","Green exterior, Gray interior"
2017,Mercedes-Benz C-Class,C 63 S AMG Coupe RWD,"65,155 miles","$55,399 ","Black exterior, Black interior"
2017,Mercedes-Benz C-Class,C 63 AMG Sedan RWD,"29,515 miles","$44,988 ","Black exterior, Black interior"
2017,Mercedes-Benz C-Class,C 63 S AMG Cabriolet RWD,"47,030 miles","$58,998 ","White exterior, Red interior"
2017,Mercedes-Benz C-Class,C 63 S AMG Cabriolet RWD,"81,128 miles","$47,959 ","Black exterior, Unknown interior"
2017,Mercedes-Benz C-Class,C 63 S AMG Coupe RWD,"51,674 miles","$52,998 ","Blue exterior, Black interior"
2017,Mercedes-Benz C-Class,C 63 S AMG Cabriolet RWD,"20,999 miles","$63,495 ","Silver exterior, Black interior"
2017,Mercedes-Benz C-Class,C 63 S AMG Cabriolet RWD,"43,128 miles","$56,990 ","Gray exterior, Unknown interior"
2017,Mercedes-Benz C-Class,C 63 AMG Sedan RWD,"38,951 miles","$51,998 ","Black exterior, Black interior"
2017,Mercedes-Benz C-Class,C 63 S AMG Coupe RWD,"21,223 miles","$61,990 ","Silver exterior, Black interior"
2017,Mercedes-Benz C-Class,C 63 AMG Cabriolet RWD,"34,732 miles","$49,995 ","Gray exterior, Black interior"
2017,Mercedes-Benz C-Class,C 63 S AMG Cabriolet RWD,"50,425 miles","$56,998 ","White exterior, Black interior"
2017,Mercedes-Benz C-Class,C 63 AMG Sedan RWD,"69,529 miles","$38,786 ","Black exterior, Black interior"
2017,Mercedes-Benz C-Class,C 63 AMG Sedan RWD,"45,300 miles","$48,590 ","Black exterior, Black interior"
2018,Mercedes-Benz C-Class,C 63 S AMG Coupe RWD,"18,703 miles","$67,590 ","Black exterior, Black interior"
2017,Mercedes-Benz C-Class,C 63 S AMG Cabriolet RWD,"35,628 miles","$61,995 ","White exterior, Red interior"
2018,Mercedes-Benz C-Class,C 63 S AMG Cabriolet RWD,"56,780 miles","$63,998 ","Gray exterior, Black interior"
2018,Mercedes-Benz C-Class,C 63 S AMG Coupe RWD,"63,093 miles","$54,996 ","White exterior, Black interior"
2018,Mercedes-Benz C-Class,C 63 AMG Sedan RWD,"22,269 miles","$52,900 ","Blue exterior, Black interior"
2017,Mercedes-Benz C-Class,C 63 AMG Coupe RWD,"40,924 miles","$49,995 ","White exterior, Black interior"
2017,Mercedes-Benz C-Class,C 63 S AMG Sedan RWD,"22,478 miles","$56,781 ","Black exterior, Black interior"
2017,Mercedes-Benz C-Class,C 63 S AMG Coupe RWD,"45,771 miles","$55,905 ","Black exterior, Black interior"
2018,Mercedes-Benz C-Class,C 63 S AMG Sedan RWD,"60,970 miles","$52,740 ","Unknown exterior, Black interior"
2017,Mercedes-Benz C-Class,C 63 AMG Cabriolet RWD,"66,629 miles","$48,900 ","Gray exterior, Black interior"
2017,Mercedes-Benz C-Class,C 63 S AMG Coupe RWD,"40,562 miles","$61,995 ","White exterior, Red interior"
2018,Mercedes-Benz C-Class,C 63 S AMG Cabriolet RWD,"17,510 miles","$71,500 ","White exterior, Red interior"
2017,Mercedes-Benz C-Class,C 63 S AMG Cabriolet RWD,"59,073 miles","$54,995 ","Silver exterior, Black interior"
2018,Mercedes-Benz C-Class,C 63 S AMG Coupe RWD,"44,205 miles","$64,995 ","Gray exterior, Black interior"
2017,Mercedes-Benz C-Class,C 63 S AMG Cabriolet RWD,"22,092 miles","$69,990 ","White exterior, Brown interior"
2017,Mercedes-Benz C-Class,C 63 S AMG Sedan RWD,"63,624 miles","$53,995 ","Black exterior, Black interior"
2021,Mercedes-Benz C-Class,AMG C 63 S Sedan RWD,"11,997 miles","$82,990 ","Black exterior, Red interior"
2019,Mercedes-Benz C-Class,AMG C 63 S Sedan RWD,"9,863 miles","$70,990 ","Black exterior, Black interior"
2020,Mercedes-Benz C-Class,AMG C 63 Cabriolet,"12,969 miles","$75,990 ","Gray exterior, Black interior"
2020,Mercedes-Benz C-Class,AMG C 63 S Coupe RWD,"19,052 miles","$82,900 ","Black exterior, Black interior"
2021,Mercedes-Benz C-Class,AMG C 63 S Cabriolet RWD,"2,336 miles","$97,999 ","Black exterior, Red interior"
2021,Mercedes-Benz C-Class,AMG C 63 S Coupe RWD,"13,450 miles","$89,950 ","White exterior, Red interior"
2021,Mercedes-Benz C-Class,AMG C 63 S Coupe RWD,"8,800 miles","$86,990 ","Gray exterior, Black interior"
2019,Mercedes-Benz C-Class,AMG C 63 S Sedan RWD,"23,737 miles","$75,999 ","White exterior, Black interior"
2020,Mercedes-Benz C-Class,AMG C 63 S Coupe RWD,"22,959 miles","$83,998 ","Black exterior, Black interior"
2020,Mercedes-Benz C-Class,AMG C 63 Cabriolet,"9,000 miles","$78,995 ","Silver exterior, Black interior"
2020,Mercedes-Benz C-Class,AMG C 63 Sedan RWD,"26,542 miles","$60,900 ","White exterior, Black interior"
2020,Mercedes-Benz C-Class,AMG C 63 S Coupe RWD,"21,837 miles","$75,000 ","Black exterior, Black interior"
2020,Mercedes-Benz C-Class,AMG C 63 Sedan RWD,"14,747 miles","$58,560 ","White exterior, Black interior"
2021,Mercedes-Benz C-Class,AMG C 63 S Cabriolet RWD,"19,955 miles","$95,995 ","Black exterior, Red interior"
2019,Mercedes-Benz C-Class,AMG C 63 Sedan RWD,"35,554 miles","$51,988 ","Black exterior, Black interior"
2015,Nissan GT-R,Premium,"42,124 miles","$89,991 ","Black exterior, Black interior"
2016,Nissan GT-R,Premium,"59,157 miles","$79,790 ","Blue exterior, Unknown interior"
2016,Nissan GT-R,Black Edition,"44,532 miles","$89,995 ","White exterior, Black interior"
2015,Nissan GT-R,Premium,"58,702 miles","$88,991 ","White exterior, Black interior"
2016,Nissan GT-R,Premium,"23,329 miles","$87,990 ","Black exterior, Beige interior"
2016,Nissan GT-R,Premium,"6,252 miles","$98,900 ","White exterior, Red interior"
2015,Nissan GT-R,Premium,"37,559 miles","$83,888 ","Silver exterior, Black interior"
2015,Nissan GT-R,Black Edition,"13,482 miles","$99,900 ","Gray exterior, Black interior"
2016,Nissan GT-R,Premium,"16,057 miles","$96,991 ","Gray exterior, Black interior"
2016,Nissan GT-R,Black Edition,"26,965 miles","$98,995 ","Blue exterior, Black interior"
2015,Nissan GT-R,Premium,"57,933 miles","$69,950 ","Unknown exterior, Black interior"
2016,Nissan GT-R,Black Edition,"7,472 miles","$158,990 ","White exterior, Black interior"
2015,Nissan GT-R,Premium,"41,501 miles","$83,000 ","Gray exterior, Red interior"
2015,Nissan GT-R,Premium,"58,301 miles","$80,000 ","Silver exterior, Black interior"
2016,Nissan GT-R,Premium,"37,899 miles","$82,893 ","Silver exterior, Beige interior"
2015,Nissan GT-R,Black Edition,"52,815 miles","$75,998 ","Black exterior, Black interior"
2015,Nissan GT-R,Premium,"41,680 miles","$88,995 ","White exterior, Black interior"
2015,Nissan GT-R,Premium,"40,155 miles","$89,900 ","Gray exterior, Black interior"
2015,Nissan GT-R,Premium,"35,805 miles","$88,578 ","Black exterior, Beige interior"
2016,Nissan GT-R,NISMO,"16,306 miles","$149,900 ","Black exterior, Black interior"
2015,Nissan GT-R,Black Edition,"40,895 miles","$80,500 ","Gray exterior, Black interior"
2015,Nissan GT-R,Premium,"76,000 miles","$79,900 ","Orange exterior, Unknown interior"
2015,Nissan GT-R,Premium,"11,037 miles","$99,999 ","White exterior, Red interior"
2015,Nissan GT-R,Premium,"67,313 miles","$82,888 ","Red exterior, Black interior"
2015,Nissan GT-R,NISMO,"2,175 miles","$184,999 ","Gray exterior, Red interior"
2015,Nissan GT-R,Premium,"45,658 miles","$78,777 ","Gray exterior, Black interior"
2015,Nissan GT-R,Premium,"38,763 miles","$89,000 ","Black exterior, Black interior"
2017,Nissan GT-R,Premium,"5,646 miles","$119,786 ","White exterior, Beige interior"
2018,Nissan GT-R,Track Edition,"36,096 miles","$123,490 ","Black exterior, Black interior"
2017,Nissan GT-R,Premium,"28,847 miles","$112,700 ","Red exterior, Beige interior"
2017,Nissan GT-R,Premium,"28,795 miles","$98,995 ","Gray exterior, Black interior"
2017,Nissan GT-R,Premium,"59,687 miles","$105,991 ","Silver exterior, Black interior"
2017,Nissan GT-R,Premium,"39,392 miles","$112,991 ","Silver exterior, Black interior"
2017,Nissan GT-R,Premium,"26,158 miles","$110,000 ","Orange exterior, Black interior"
2018,Nissan GT-R,NISMO,"11,329 miles","$169,999 ","Black exterior, Black interior"
2017,Nissan GT-R,Premium,"17,205 miles","$114,900 ","White exterior, Black interior"
2018,Nissan GT-R,Premium,"14,299 miles","$114,444 ","Orange exterior, Black interior"
2017,Nissan GT-R,Premium,"33,582 miles","$113,999 ","Orange exterior, Beige interior"
2017,Nissan GT-R,Premium,"21,061 miles","$109,999 ","Orange exterior, Beige interior"
2017,Nissan GT-R,Premium,"27,717 miles","$114,995 ","Blue exterior, Black interior"
2017,Nissan GT-R,Premium,"16,802 miles","$109,991 ","Orange exterior, Black interior"
2017,Nissan GT-R,Premium,"9,778 miles","$107,995 ","Black exterior, Beige interior"
2017,Nissan GT-R,Premium,"26,715 miles","$110,990 ","White exterior, Black interior"
2018,Nissan GT-R,Premium,"3,747 miles","$129,000 ","White exterior, Brown interior"
2017,Nissan GT-R,Premium,"19,097 miles","$109,950 ","Black exterior, Beige interior"
2017,Nissan GT-R,Premium,"46,270 miles","$102,990 ","White exterior, Black interior"
2017,Nissan GT-R,Premium,"49,625 miles","$103,775 ","Orange exterior, Black interior"
2017,Nissan GT-R,Premium,"8,170 miles","$199,990 ","Black exterior, Black interior"
2020,Nissan GT-R,Premium,"21,994 miles","$125,500 ","Black exterior, Beige interior"
2020,Nissan GT-R,Premium,"12,654 miles","$134,990 ","White exterior, Black interior"
2020,Nissan GT-R,Premium,"10,270 miles","$119,991 ","Blue exterior, Black interior"
2020,Nissan GT-R,Premium,"18,474 miles","$119,900 ","White exterior, Gray interior"
2021,Nissan GT-R,Premium,"13,488 miles","$138,999 ","Black exterior, Black interior"
2020,Nissan GT-R,Premium,"13,780 miles","$125,995 ","Blue exterior, Black interior"
2021,Nissan GT-R,T-Spec,"8,229 miles","$199,988 ","Purple exterior, Green interior"
2020,Nissan GT-R,Premium,"23,236 miles","$129,900 ","Blue exterior, Black interior"
2020,Nissan GT-R,Premium,"2,678 miles","$129,995 ","White exterior, Black interior"
2020,Nissan GT-R,Premium,"10,897 miles","$131,988 ","White exterior, Black interior"
2021,Nissan GT-R,Premium,"9,793 miles","$139,991 ","White exterior, Black interior"
2020,Nissan GT-R,Premium,"17,680 miles","$139,555 ","White exterior, Black interior"
2020,Nissan GT-R,Premium,"19,801 miles","$132,000 ","Red exterior, Black interior"
2020,Nissan GT-R,Premium,"20,843 miles","$117,989 ","Blue exterior, Black interior"
2021,Nissan GT-R,T-Spec,424 miles,"$239,988 ","Green exterior, Green interior"
2020,Nissan GT-R,Premium,"13,540 miles","$132,990 ","Red exterior, Black interior"
2019,Porsche 718 Cayman,Coupe,"14,604 miles","$58,998 ","White exterior, Red interior"
2019,Porsche 718 Cayman,Coupe,"6,874 miles","$63,999 ","Blue exterior, Black interior"
2019,Porsche 718 Cayman,Coupe,"9,878 miles","$62,590 ","Black exterior, Black interior"
2017,Porsche 718 Cayman,S Coupe,"18,180 miles","$67,998 ","White exterior, Black interior"
2018,Porsche 718 Cayman,Coupe,"46,926 miles","$51,590 ","Gray exterior, Black interior"
2017,Porsche 718 Cayman,Coupe,"59,445 miles","$46,990 ","White exterior, Black interior"
2018,Porsche 718 Cayman,Coupe,"24,883 miles","$55,590 ","White exterior, Black interior"
2018,Porsche 718 Cayman,GTS Coupe,"6,502 miles","$87,490 ","White exterior, Black interior"
2018,Porsche 718 Cayman,Coupe,"7,514 miles","$58,898 ","Red exterior, Black interior"
2018,Porsche 718 Cayman,S Coupe,"5,394 miles","$72,500 ","Black exterior, Black interior"
2019,Porsche 718 Cayman,S Coupe,"19,904 miles","$71,590 ","Silver exterior, Black interior"
2018,Porsche 718 Cayman,S Coupe,"30,707 miles","$65,590 ","Gray exterior, Black interior"
2019,Porsche 718 Cayman,Coupe,"30,839 miles","$60,590 ","White exterior, Black interior"
2019,Porsche 718 Cayman,GTS Coupe,"5,179 miles","$84,339 ","Gray exterior, Unknown interior"
2019,Porsche 718 Cayman,Coupe,"5,389 miles","$61,990 ","Black exterior, Black interior"
2018,Porsche 718 Cayman,GTS Coupe,"8,371 miles","$83,987 ","Silver exterior, Red interior"
2019,Porsche 718 Cayman,Coupe,"7,073 miles","$61,576 ","Black exterior, Black interior"
2017,Porsche 718 Cayman,S Coupe,"55,172 miles","$59,888 ","Silver exterior, Black interior"
2018,Porsche 718 Cayman,Coupe,"32,536 miles","$56,575 ","White exterior, Black interior"
2019,Porsche 718 Cayman,S Coupe,"18,219 miles","$72,795 ","Red exterior, Black interior"
2017,Porsche 718 Cayman,Coupe,"31,154 miles","$44,999 ","Silver exterior, Black interior"
2017,Porsche 718 Cayman,S Coupe,"24,690 miles","$74,775 ","Blue exterior, Gray interior"
2021,Porsche 718 Cayman,GT4 Coupe,81 miles,"$144,990 ","Black exterior, Black interior"
2022,Porsche 718 Cayman,GTS,"2,568 miles","$118,575 ","Blue exterior, Black interior"
2020,Porsche 718 Cayman,GT4,"7,028 miles","$126,995 ","Tan exterior, Black interior"
